"Genotype","Run","Treatment","Composite_Week3","Composite_Week6","Composite_Score_Weighted"
"CN 101815","Run1","Saline",-0.0683769424893417,-0.351757569536647,-0.238405318717725
"CN 105205","Run1","Saline",-0.102740991582246,-0.3297424137022,-0.238941844854218
"CN 101808","Run1","Saline",-0.213610855711824,-0.262221645836497,-0.242777329786628
"CN 101745","Run1","Saline",-0.00269064669716474,-0.403392315420971,-0.243111647931448
"CN 105274","Run1","Saline",0.100976825799901,-0.475222184215789,-0.244742580209513
"CN 30463","Run1","Saline",NA,-0.247431692994981,-0.247431692994981
"CN 105257","Run1","Saline",-0.266570811941777,-0.23861307517509,-0.249796169881765
"CN 101718","Run1","Saline",-0.0723935175042876,-0.381793604554918,-0.258033569734666
"CN 101743","Run1","Saline",-0.247649962020464,-0.272413978648742,-0.262508371997431
"CN 101747","Run1","Saline",-0.0527013292192237,-0.403393398792253,-0.263116570963041
"CN 101784","Run1","Saline",-0.313891242009823,-0.236640655074498,-0.267540889848628
"CN 105227","Run1","Saline",-0.42197183693789,-0.177691580209823,-0.27540368290105
"CN 101822","Run1","Saline",-0.311069390914368,-0.256011135445387,-0.27803443763298
"CN 101749","Run1","Saline",-0.37129901881671,-0.23610228989071,-0.29018098146111
"CN 34006","Run1","Saline",NA,-0.293956315015864,-0.293956315015864
"CN 105220","Run1","Saline",-0.394582644415587,-0.231157822076593,-0.296527751012191
"CN 105199","Run1","Saline",-0.0908221205275147,-0.478415074672772,-0.323377893014669
"CN 101769","Run1","Saline",-0.357635872454612,-0.311778270762286,-0.330121311439217
"CN 44106","Run1","Saline",NA,-0.339471436048655,-0.339471436048655
"CN 46239","Run1","Saline",0.0540979346777177,-0.718169882461453,-0.409262755605785
"CN 101846","Run1","Saline",-0.25643196565793,-0.533216557598271,-0.422502720822135
"CN 105236","Run1","Saline",-0.412069279954528,-0.462372015168781,-0.44225092108308
"CN 101813","Run1","Saline",-0.0904100952048652,-0.686294668088296,-0.447940838934924
"CN 101794","Run1","Saline",-0.0382060465769642,-0.737531236027586,-0.457801160247337
"CN 30459","Run1","Saline",NA,-0.503883028485024,-0.503883028485024
"CN 101807","Run1","Saline",-0.0641617875477918,-0.896351304909958,-0.563475497965091
"CN 105315","Run2","Control",-0.0578748965327407,0.351239925980276,0.187593996975069
"CN 113781","Run2","Control",-0.0669058517928665,0.241561614286078,0.1181746278545
"CN 110980","Run2","Control",0.000776595648413968,-0.0655494447458568,-0.0390190285881485
"CN 105367","Run2","Control",-0.275507939068874,0.103074535953132,-0.0483584540556707
"CN 112918","Run2","Control",-0.368905544337838,0.122548817151946,-0.0740329274439674
"CN 105351","Run2","Control",-0.111424748815004,-0.0799335171860937,-0.092530009837658
"CN 107733","Run2","Control",0.110958700356392,-0.24979456634109,-0.105493259662098
"CN 119168","Run2","Control",-0.114457939375705,-0.103100720803226,-0.107643608232218
"CN 105342","Run2","Control",0.264453144910347,-0.373292422497335,-0.118194195534262
"CN 105366","Run2","Control",-0.286010080060758,-0.0617905979792203,-0.151478390811835
"CN 105339","Run2","Control",-0.159361380357862,-0.160367196287034,-0.159964869915365
"CN 105330","Run2","Control",0.0481117713864563,-0.317198918839134,-0.171074642748898
"CN 105316","Run2","Control",0.17221350690955,-0.413632404641886,-0.179294040021312
"CN 119157","Run2","Control",-0.0716579646424033,-0.255125899257745,-0.181738725411609
"CN 120257","Run2","Control",-0.435445442055174,-0.0548452339163367,-0.207085317171871
"CN 119223","Run2","Control",-0.161374520563794,-0.246512812441253,-0.212457495690269
"CN 119130","Run2","Control",-0.191403399787867,-0.270342837238245,-0.238767062258094
"CN 105299","Run2","Control",-0.0198458015745288,-0.388775247028764,-0.24120346884707
"CN 119248","Run2","Control",-0.329036276565094,-0.205386331780951,-0.254846309694608
"CN 119148","Run2","Control",-0.273012486681589,-0.264743352893815,-0.268051006408925
"CN 105337","Run2","Control",-0.204281690086154,-0.323578322903153,-0.275859669776354
"CN 105357","Run2","Control",-0.241971042015543,-0.317427551869109,-0.287244947927682
"CN 119124","Run2","Control",-0.379216680720963,-0.247881022173003,-0.300415285592187
"CN 111385","Run2","Control",-0.503727073308548,-0.252223333416648,-0.352824829373408
"CN 105327","Run2","Control",-0.0402155066668183,-0.569320993353455,-0.3576787986788
"CN 105292","Run2","Control",-0.358931648611579,-0.414638928352428,-0.392356016456089
"CN 105353","Run2","Control",-0.366257697373983,-0.449952219974108,-0.416474410934058
"CN 107738","Run2","Control",-0.384777340503332,-0.478799935699306,-0.441190897620917
"CN 105390","Run2","Control",-0.417532720235074,-1.02245016776409,-0.780483188752485
"CN 119141","Run2","Saline",0.217201927423383,1.062498905638,0.724380114352151
"CN 119154","Run2","Saline",0.59757032045531,0.479303082086309,0.526609977433909
"CN 105387","Run2","Saline",0.467266633459166,0.532215688751937,0.506236066634829
"CN 119134","Run2","Saline",0.441920824222043,0.506719781669508,0.480800198690522
"CN 105396","Run2","Saline",0.453426258205152,0.497909223195829,0.480116037199558
"CN 105309","Run2","Saline",0.516152649515519,0.437398717252532,0.468900290157727
"CN 105371","Run2","Saline",0.323527641271764,0.546628685911762,0.457388268055763
"CN 119223","Run2","Saline",0.473751072105961,0.41863711675248,0.440682698893873
"CN 119138","Run2","Saline",0.323216284158875,0.515123389709927,0.438360547489506
"CN 105314","Run2","Saline",0.00735908578891947,0.694473833612216,0.419627934482897
"CN 105429","Run2","Saline",0.334524384211738,0.429122152615347,0.391283045253904
"CN 120257","Run2","Saline",0.42007500786311,0.363958466305866,0.386405082928763
"CN 120256","Run2","Saline",0.173342165984291,0.519642839135005,0.38112256987472
"CN 105284","Run2","Saline",0.260392722226283,0.452262811585245,0.37551477584166
"CN 105395","Run2","Saline",0.197160075839677,0.48995594095046,0.372837594906147
"CN 119275","Run2","Saline",0.182267081652659,0.452167427273976,0.344207289025449
"CN 119163","Run2","Saline",0.0556348482218177,0.51302160000786,0.330066899293443
"CN 105381","Run2","Saline",0.104434990634174,0.480003048394958,0.329775825290645
"CN 119171","Run2","Saline",0.235715882358496,0.392299045870842,0.329665780465903
"CN 107738","Run2","Saline",-0.0224910652713634,0.563146936450213,0.328891735761582
"CN 105362","Run2","Saline",0.223516469909184,0.369662022582391,0.311203801513108
"CN 110912","Run2","Saline",-0.202325581986303,0.653157410543744,0.310964213531725
"CN 105318","Run2","Saline",0.239987015587462,0.353861353799008,0.30831161851439
"CN 105369","Run2","Saline",0.495774908487877,0.179142420507329,0.305795415699548
"CN 120034","Run2","Saline",0.37325761085323,0.259781167213982,0.305171744669681
"CN 119151","Run2","Saline",0.320019704289732,0.285212825432327,0.299135576975289
"CN 105379","Run2","Saline",-0.0950499438352975,0.555941010830903,0.295544628964423
"CN 105294","Run2","Saline",0.299552943298711,0.284251246840431,0.290371925423743
